02012023;220;A;USD;5,3430;5,3436;1,0000;1,0000
03012023;220;A;USD;5,3753;5,3759;1,0000;1,0000
04012023;220;A;USD;5,4453;5,4459;1,0000;1,0000
05012023;220;A;USD;5,4020;5,4026;1,0000;1,0000
06012023;220;A;USD;5,2849;5,2855;1,0000;1,0000
09012023;220;A;USD;5,2961;5,2967;1,0000;1,0000
10012023;220;A;USD;5,2389;5,2395;1,0000;1,0000
11012023;220;A;USD;5,2014;5,2020;1,0000;1,0000
12012023;220;A;USD;5,1394;5,1400;1,0000;1,0000
13012023;220;A;USD;5,1140;5,1146;1,0000;1,0000
16012023;220;A;USD;5,1109;5,1115;1,0000;1,0000
17012023;220;A;USD;5,1197;5,1203;1,0000;1,0000
18012023;220;A;USD;5,0903;5,0909;1,0000;1,0000
19012023;220;A;USD;5,2138;5,2144;1,0000;1,0000
20012023;220;A;USD;5,1980;5,1986;1,0000;1,0000
23012023;220;A;USD;5,1916;5,1922;1,0000;1,0000
24012023;220;A;USD;5,1690;5,1696;1,0000;1,0000
25012023;220;A;USD;5,1036;5,1042;1,0000;1,0000
26012023;220;A;USD;5,0945;5,0951;1,0000;1,0000
27012023;220;A;USD;5,0761;5,0767;1,0000;1,0000
30012023;220;A;USD;5,0953;5,0959;1,0000;1,0000
31012023;220;A;USD;5,0987;5,0993;1,0000;1,0000
01022023;220;A;USD;5,0715;5,0721;1,0000;1,0000
02022023;220;A;USD;4,9895;4,9901;1,0000;1,0000
03022023;220;A;USD;5,1024;5,1030;1,0000;1,0000
06022023;220;A;USD;5,1757;5,1763;1,0000;1,0000
07022023;220;A;USD;5,1689;5,1695;1,0000;1,0000
08022023;220;A;USD;5,2030;5,2036;1,0000;1,0000
09022023;220;A;USD;5,2309;5,2315;1,0000;1,0000
10022023;220;A;USD;5,2520;5,2526;1,0000;1,0000
13022023;220;A;USD;5,1828;5,1834;1,0000;1,0000
14022023;220;A;USD;5,1501;5,1507;1,0000;1,0000
15022023;220;A;USD;5,2237;5,2243;1,0000;1,0000
16022023;220;A;USD;5,2426;5,2432;1,0000;1,0000
17022023;220;A;USD;5,2006;5,2012;1,0000;1,0000
22022023;220;A;USD;5,1724;5,1730;1,0000;1,0000
23022023;220;A;USD;5,1324;5,1330;1,0000;1,0000
24022023;220;A;USD;5,1785;5,1791;1,0000;1,0000
27022023;220;A;USD;5,1954;5,1960;1,0000;1,0000
28022023;220;A;USD;5,2072;5,2078;1,0000;1,0000
01032023;220;A;USD;5,2064;5,2070;1,0000;1,0000
02032023;220;A;USD;5,2074;5,2080;1,0000;1,0000
03032023;220;A;USD;5,2031;5,2037;1,0000;1,0000
06032023;220;A;USD;5,1964;5,1970;1,0000;1,0000
07032023;220;A;USD;5,1895;5,1901;1,0000;1,0000
08032023;220;A;USD;5,1381;5,1387;1,0000;1,0000
09032023;220;A;USD;5,1347;5,1353;1,0000;1,0000
10032023;220;A;USD;5,1816;5,1822;1,0000;1,0000
13032023;220;A;USD;5,2394;5,2400;1,0000;1,0000
14032023;220;A;USD;5,2356;5,2362;1,0000;1,0000
15032023;220;A;USD;5,2975;5,2981;1,0000;1,0000
16032023;220;A;USD;5,2886;5,2892;1,0000;1,0000
17032023;220;A;USD;5,2673;5,2679;1,0000;1,0000
20032023;220;A;USD;5,2461;5,2467;1,0000;1,0000
21032023;220;A;USD;5,2438;5,2444;1,0000;1,0000
22032023;220;A;USD;5,2642;5,2648;1,0000;1,0000
23032023;220;A;USD;5,2626;5,2632;1,0000;1,0000
24032023;220;A;USD;5,2915;5,2921;1,0000;1,0000
27032023;220;A;USD;5,2300;5,2306;1,0000;1,0000
28032023;220;A;USD;5,1727;5,1733;1,0000;1,0000
29032023;220;A;USD;5,1487;5,1493;1,0000;1,0000
30032023;220;A;USD;5,1248;5,1254;1,0000;1,0000
31032023;220;A;USD;5,0798;5,0804;1,0000;1,0000
03042023;220;A;USD;5,0631;5,0637;1,0000;1,0000
04042023;220;A;USD;5,0756;5,0762;1,0000;1,0000
05042023;220;A;USD;5,0441;5,0447;1,0000;1,0000
